Unike anleggstyper:
Badeplass
Båthavn/Brygge
Ulike småanlegg
Kajakkanlegg
Båthus
Roanlegg
Vannsportsanlegg
Vannskianlegg
Flytebrygge
Seilanlegg
Tidtaker/sekretariat m.m.
Roanlegg - haldens roklub;6558549;293164;33
Roanlegg - haldens roklub;6558551;293150;33
Roanlegg - haldens roklub;6558551;293150;33
Haldens roklubb - flytebrygge;6558549;293164;33
Rosnes roanlegg - klubb- og båthus;6597954;253835;33
Rosnes roanlegg;6597954;253835;33
Rosnes roanlegg - flytebrygge;6597954;253835;33
Moss Seilforening - seilanlegg;6595562;252693;33
Kajakklubb - båthall;6596721;255035;33
Kajakklubb - brygge for vannsport;6596719;255049;33
Sarpsborg roklubb - roanlegg;6579433;276667;33
Sarpsborg roklubb - båthus;6579433;276667;33
Sarpsborg roklubb - flytebrygge;6579433;276667;33
Sarpsborg roklubb - båthus;6574767;618364;32
Sarpsborg seilforening - seilanlegg;6563182;282220;33
Sarpsborg seilforening, flytebrygge;6563182;282220;33
Fredrikstad seilsportanlegg;6570938;260441;33
Fr.stad seilforening, brygge;6570938;260441;33
Borgebunnen roanlegg;6586610;268299;33
Son seilarena;6606236;255973;33
Årungen roarena;6624749;260731;33
Årungen padleanlegg;6624749;260731;33
Årungen båthus;6624749;260731;33
Drøbaksund seilarena - Brygge;6623416;253512;33
Drøbaksund seilarena - Jollebod;6623425;253533;33
Torkildstranda b.pl. - Flerbruksanlegg vannsport;6613408;592068;32
Husvikholmen Seilsportanlegg;6623442;253492;33
Steilene seilsenter;6639075;253812;33
Varg i.l. flytebrygge;6644681;257332;33
Søndre Spro Brygge;6632320;251922;33
Tussetjern flytebrygge;6632490;265666;33
Kolbotnvannet  flytebrygge;6637407;264730;33
Oppegård båthavn-seileanlegg;6633774;598805;32
Vestfjorden Seilsportarena;6646394;254105;33
Vestfjorden seilsportarena - Ytre Vassholmen brygge;6645477;254994;33
Sarbuvollen Seilsportarena;6647767;253021;33
Sarbuvollen seilsportarena - sjøbod;6647787;252980;33
Bærum Seilforening Jollebrygge;6640572;588597;32
Strand Kajakk Klubb - Koksabukta kajakkanlegg;6647894;253201;33
Strand Kajakk Klubb - båthus;6647923;253177;33
Bærum kajakkanlegg;6647153;250275;33
Bærum Roklubb flytebrygge;6647146;250266;33
Storøyspissen - Bærum - HC-brygge;6639959;589165;32
Kjørbo robane;6639393;585449;32
Rolfstangen Seilbrettanlegg Utsetningsrampe;6640515;591473;32
Asker Helsesportlags senter - flytebrygg;6639246;239839;33
Asker Helsesportlags senter - flytebrygge;6639238;239872;33
Blakstadtangen;6632158;583210;32
Blakstadtangen - bryggebod;6639841;246758;33
Blakstadtangen Bunker/hall;6632127;583151;32
Blakstadtangen Optimistgarasje;6639833;246788;33
Solheim Kajakkanlegg;6643367;247659;33
Solheim kajakkanlegg flytebrygge;6643367;247659;33
Solheim kajakkanlegg;6643358;247646;33
Feilregistrert;6639846;246845;33
Gansvika bade- og rekreasjonso;6642031;288233;33
Mjær vannskiarena;6626721;278233;33
Stampetjern badeplass;6656116;285086;33
Lillestrøm Båthavn - Kunnskapsbyen Båtnaust;6647326;615138;32
Vannskianlegg;6673762;303838;33
Vålsjøen kanobrygge;6703699;286454;33
Høversjøen badeplass;6712958;277169;33
Norges idrettshøgskole roanlegg;6655416;261836;33
Norske studenters roklubb, båthus;6648861;259357;33
Norske studenters roklubb, brygge;6648861;259357;33
Ormsund roklubbs båthus;6644126;262810;33
Ormsund roklubbs brygge;6644126;262810;33
Ormsund roklubbs robane;6644147;262827;33
Oslo kvinnelige roklubbs båthu;6650178;257588;33
Oslo kvinnelige roklubbs brygg;6650178;257588;33
Oslo roklubbs båthus;6650133;258287;33
Oslo roklubbs brygge;6650133;258287;33
Ormøya kajakkstativer;6645429;262633;33
Christiania roklubbs båthus;6649137;259726;33
Christiania roklubbs brygge;6649137;259726;33
Arbeidernes roklubbs båthus;6647630;261333;33
Arbeidernes roklubbs brygge;6647630;261333;33
Christiania roklubb bogstad båthus;6656702;255905;33
Christiania roklubb bogstad;6656702;255905;33
Christiania roklubbs bogstad brygge;6656702;255905;33
Nøklevann ro - og padleklubb;6644576;268251;33
Bundefjorden seilforen.s havn;6645198;263280;33
Malmøya robane;6645198;263280;33
Bundefjorden Seilsenter båthus;6643997;262792;33
