Roanlegg - haldens roklub;6558551;293150;33
Roanlegg - haldens roklub;6558551;293150;33
Haldens roklubb - flytebrygge;6558549;293164;33
Rosnes roanlegg - flytebrygge;6597954;253835;33
Kajakklubb - brygge for vannsport;6596719;255049;33
Sarpsborg roklubb - flytebrygge;6579433;276667;33
Sarpsborg seilforening, flytebrygge;6563182;282220;33
Fr.stad seilforening, brygge;6570938;260441;33
Drøbaksund seilarena - Brygge;6623416;253512;33
Varg i.l. flytebrygge;6644681;257332;33
Tussetjern flytebrygge;6632490;265666;33
Kolbotnvannet  flytebrygge;6637407;264730;33
Vestfjorden seilsportarena - Ytre Vassholmen brygge;6645477;254994;33
Bærum Roklubb flytebrygge;6647146;250266;33
Storøyspissen - Bærum - HC-brygge;6639959;589165;32
Asker Helsesportlags senter - flytebrygg;6639246;239839;33
Asker Helsesportlags senter - flytebrygge;6639238;239872;33
Solheim kajakkanlegg flytebrygge;6643367;247659;33
Gansvika bade- og rekreasjonso;6642031;288233;33
Stampetjern badeplass;6656116;285086;33
Vålsjøen kanobrygge;6703699;286454;33
Høversjøen badeplass;6712958;277169;33
Norske studenters roklubb, brygge;6648861;259357;33
Ormsund roklubbs brygge;6644126;262810;33
Oslo kvinnelige roklubbs brygg;6650178;257588;33
Oslo roklubbs brygge;6650133;258287;33
Christiania roklubbs brygge;6649137;259726;33
Arbeidernes roklubbs brygge;6647630;261333;33
Christiania roklubbs bogstad brygge;6656702;255905;33
Nøklevann ro - og padleklubb;6644576;268251;33
Kongelig norsk seilforening - flytebrygge;6649981;259079;33
Oslo kajakklubb, flytebrygge;6650145;257640;33
Vingersjøen rostadion, flytebrygge;6675896;335803;33
Vingersjøen rostadion, flytebrygge 2;6675896;335803;33
Kvarbergsvika, flytebrygge;6755782;277256;33
Moelv vannski anlegg;6760677;267231;33
Dølisjøen vannskianlegg;6687351;321886;33
Lillehammer roanlegg;0;0;32
Furustrand bryggeanlegg;0;0;32
Roklubbhuset, flytebrygge;6632750;230216;33
Hurum seilsenter, flytebrygge;6624342;248490;33
Rødtangen jollebrygge;6608069;240755;33
Numedal folkehøgskole kanobrygge;0;0;0
Rørestrand Flytebrygge;6592994;243521;33
Tønsberg kajak klubb Flytebrygge;6579440;237941;33
Granholmen Flytebrygge;6559665;226291;33
Korvikvannet vannsportanlegg - brygge og stupetårn;6576521;213215;33
Seivall småbåthavn, brygge 2;6560285;197180;33
Porsgrunn Roklubb roanlegg brygger;6566500;193330;33
